PDXmodel,Passage,MedianMutationFrequency
LU5236P4,4,44.4
LU9333P4,4,44.4
SA13375P4,4,44.4
CV10069P4,4,44.5
GA2269P4,4,44.55
ES0189P4,4,44.6
BR1115P4,4,44.65
SA0666P4,4,44.7
PA2425P4,4,44.8
BR9493P4,4,45
PA6237P4,4,45
LU2639P4,4,45.05
LU5211P4,4,45.1
OV0276P4,4,45.2
MC3685P4,4,45.25
ME14005P4,4,45.3
CV10258P4,4,45.4
GA6846P4,4,45.4
LI6662P4,4,45.4
LU2569P4,4,45.4
LU9349P4,4,45.4
ME5277P4,4,45.4
KI9310P4,4,45.5
LI1099P4,4,45.5
LU2055P4,4,45.65
LU6923P4,4,45.75
CR0560P4,4,45.8
CR15724P4,4,45.8
ES0199P4,4,45.8
LU2535P4,4,45.85
LU6911P4,4,45.85
ES11074P4,4,45.9
GA13750P4,4,46
LU0009P4,4,46
LU5234P4,4,46.1
OV2027P4,4,46.1
GA2103P4,4,46.15
LU3073P4,4,46.15
ME2194P4,4,46.2
LI6301P4,4,46.3
HN0696P4,4,46.35
LU11855P4,4,46.35
LU2403P4,4,46.4
LU5153P4,4,46.4
LU5216P4,4,46.4
CR6225P4,4,46.55
BN2331P4,4,46.6
CR5084P4,4,46.6
LU1258P4,4,46.6
BR6703P4,4,46.65
GA0075P4,4,46.65
OV1200P4,4,46.65
CR2491P4,4,46.7
BR9234P4,4,46.8
LU1147P4,4,46.8
BR1474P4,4,46.9
ES3862P4,4,46.9
HN3461P4,4,47
OV1385P4,4,47
SA4040P4,4,47
LU5257P4,4,47.05
PA1455P4,4,47.1
GA2148P4,4,47.2
LI9323P4,4,47.2
LU2540P4,4,47.2
SA13412P4,4,47.2
PA2022P4,4,47.25
CR2533P4,4,47.3
CR9256P4,4,47.3
LU2504P4,4,47.3
CR5092P4,4,47.35
SA3831P4,4,47.35
BN9224P4,4,47.4
CC6205P4,4,47.4
CR3085P4,4,47.4
GA6828P4,4,47.4
HN0635P4,4,47.45
PA1168P4,4,47.45
CR3805P4,4,47.5
HN3293P4,4,47.5
LI6293P4,4,47.5
LU5212P4,4,47.5
LU6434P4,4,47.5
LY2301P4,4,47.5
LY6933P4,4,47.55
CR3157P4,4,47.6
CV3035P4,4,47.6
ES0219P4,4,47.6
ES9291P4,4,47.6
HN2590P4,4,47.6
OV2026P4,4,47.6
PA3127P4,4,47.6
CR6255P4,4,47.65
LY2318P4,4,47.65
OV9421P4,4,47.65
CR2519P4,4,47.7
CV10071P4,4,47.7
CV10953P4,4,47.7
GA13741P4,4,47.7
LU0860P4,4,47.7
LU11760P4,4,47.7
LU2555P4,4,47.7
LU5157P4,4,47.7
LU5265P4,4,47.7
SA3839P4,4,47.7
GA0033P4,4,47.75
LI5132P4,4,47.75
LU1267P4,4,47.75
LU9339P4,4,47.75
OV9427P4,4,47.75
AD0344P4,4,47.8
BL9213P4,4,47.8
CR2520P4,4,47.8
CR6243P4,4,47.8
GA2140P4,4,47.8
GA6822P4,4,47.8
OV3414P4,4,47.8
SA10171P4,4,47.8
ES11071P4,4,47.85
CR1574P4,4,47.9
CR9238P4,4,47.9
PA1337P4,4,47.9
PA5410P4,4,47.9
BL0597P4,4,48
CR15534P4,4,48
CR1742P4,4,48
CR2305P4,4,48
CR6256P4,4,48
CR6689P4,4,48
HN5126P4,4,48
LI1069P4,4,48
LI6291P4,4,48
LU0876P4,4,48
LY2310P4,4,48
MC3050P4,4,48
PA3314P4,4,48
BL9216P4,4,48.05
BN2338P4,4,48.05
HN3792P4,4,48.05
BN15385P4,4,48.1
CC6279P4,4,48.1
CR0146P4,4,48.1
CR2524P4,4,48.1
LI1068P4,4,48.1
LU1380P4,4,48.1
LU2038P4,4,48.1
LY3786P4,4,48.1
OV0243P4,4,48.1
UT14026P4,4,48.1
BN6304P4,4,48.15
CR2226P4,4,48.15
ES2411P4,4,48.15
LU5220P4,4,48.15
UT5321P4,4,48.15
CR3448P4,4,48.2
CR6250P4,4,48.2
CR6848P4,4,48.2
CV1664P4,4,48.2
GA6894P4,4,48.2
LU0367P4,4,48.2
LU2509P4,4,48.2
LY2214P4,4,48.2
PA2405P4,4,48.2
PA5411P4,4,48.2
PA9453P4,4,48.2
LU5160P4,4,48.25
PA1405P4,4,48.25
BL9217P4,4,48.3
CC6607P4,4,48.3
CC6614P4,4,48.3
LI1004P4,4,48.3
LI1081P4,4,48.3
LY1487P4,4,48.3
LY6696P4,4,48.3
OV5397P4,4,48.3
SA10192P4,4,48.3
SA4062P4,4,48.3
CR2506P4,4,48.35
LI6723P4,4,48.35
CR2530P4,4,48.4
CV10954P4,4,48.4
LU1143P4,4,48.4
LU5269P4,4,48.4
LU9342P4,4,48.4
LY3148P4,4,48.4
PA6265P4,4,48.4
SA13305P4,4,48.4
BL3249P4,4,48.5
CC6600P4,4,48.5
CR0205P4,4,48.5
CR2528P4,4,48.5
LU6307P4,4,48.5
OV0250P4,4,48.5
PA1390P4,4,48.5
PA3546P4,4,48.5
PA9445P4,4,48.5
SA4136P4,4,48.5
ES3905P4,4,48.55
CR0460P4,4,48.6
CR1560P4,4,48.6
CR15765P4,4,48.6
ES3859P4,4,48.6
GA0095P4,4,48.6
GA6885P4,4,48.6
HN2615P4,4,48.6
LI1078P4,4,48.6
PA1383P4,4,48.6
CR15399P4,4,48.65
ME3332P4,4,48.65
CR2635P4,4,48.7
CR3403P4,4,48.7
CR6217P4,4,48.7
ES0026P4,4,48.7
HN2170P4,4,48.7
HN2621P4,4,48.7
HN3474P4,4,48.7
CR3344P4,4,48.8
ES11063P4,4,48.8
LI6605P4,4,48.8
LI6675P4,4,48.8
LU11873P4,4,48.8
OV1272P4,4,48.8
PA1194P4,4,48.8
CR6241P4,4,48.85
CC6645P4,4,48.9
LI6306P4,4,48.9
PA3142P4,4,48.9
CR0231P4,4,49
LI6296P4,4,49
LU6483P4,4,49
LY6701P4,4,49
CR6858P4,4,49.1
LU1271P4,4,49.1
SA4083P4,4,49.1
HN2606P4,4,49.2
CR3279P4,4,49.3
CR5102P4,4,49.3
HN2593P4,4,49.4
PA0968P4,4,49.4
LU2071P4,4,49.5
CR2508P4,4,49.6
OV9413P4,4,49.7
PA0787P4,4,49.7
BN3733P4,4,50
LI1057P4,4,50
HN2622P4,4,50.65
TE3357P4,4,50.8
LI0752P4,4,51.15
LU6410P5,5,34.6
GA3049P5,5,40.8
HN2588P5,5,40.9
OV9399P5,5,41.95
LU9358P5,5,42
LU6919P5,5,43.3
LU6471P5,5,43.4
CR2646P5,5,44
ES3879P5,5,44.1
KI9307P5,5,44.1
LU5194P5,5,44.1
ES11065P5,5,44.15
LU5264P5,5,44.2
GA0152P5,5,44.35
BR10582P5,5,44.6
LI1025P5,5,44.8
ME2319P5,5,45
OV3425P5,5,45
CR2521P5,5,45.2
LU11584P5,5,45.25
GA6843P5,5,45.3
ES0176P5,5,45.4
GA0031P5,5,45.4
GA3109P5,5,45.45
GL6899P5,5,45.45
LU6903P5,5,45.5
CR2110P5,5,45.55
BR9456P5,5,45.7
CR6218P5,5,45.7
HN0366P5,5,45.9
ES0190P5,5,45.95
CR6290P5,5,46
KI2552P5,5,46
CR0029P5,5,46.1
ES3885P5,5,46.1
PA6228P5,5,46.15
GA6209P5,5,46.2
LU3057P5,5,46.3
CR1231P5,5,46.35
LU5251P5,5,46.4
LU6908P5,5,46.4
GA2192P5,5,46.45
CR2660P5,5,46.5
HN3690P5,5,46.5
CR2517P5,5,46.6
ES11073P5,5,46.6
GA3102P5,5,46.6
HN3067P5,5,46.6
HN9298P5,5,46.6
CR3310P5,5,46.7
ES0218P5,5,46.7
HN3412P5,5,46.7
LU0884P5,5,46.7
GA2419P5,5,46.75
OV9422P5,5,46.75
CR6235P5,5,46.8
GA3055P5,5,46.8
OV5294P5,5,46.8
CC6216P5,5,46.85
GA0119P5,5,46.9
PA1266P5,5,46.9
PA2451P5,5,46.9
PA6245P5,5,46.9
CR6229P5,5,46.95
GA3236P5,5,46.95
PA1229P5,5,46.95
LU1661P5,5,47
CR2526P5,5,47.1
GA6819P5,5,47.15
ES0178P5,5,47.2
HN0626P5,5,47.2
LU6419P5,5,47.2
LU3133P5,5,47.25
CV3667P5,5,47.3
HN1420P5,5,47.3
LI6616P5,5,47.3
ME9364P5,5,47.3
PA6247P5,5,47.3
LI6659P5,5,47.35
LU6431P5,5,47.35
BL9211P5,5,47.4
CV2320P5,5,47.4
GA1224P5,5,47.4
HN2594P5,5,47.4
LU11693P5,5,47.4
GA6275P5,5,47.5
GA6832P5,5,47.5
GL6602P5,5,47.5
LU5268P5,5,47.5
LU6432P5,5,47.5
SA5273P5,5,47.5
PA1306P5,5,47.55
CR6924P5,5,47.6
LI6643P5,5,47.6
LU5173P5,5,47.6
LU6438P5,5,47.6
PA5415P5,5,47.6
CR0170P5,5,47.65
SA3851P5,5,47.65
BN2289P5,5,47.7
CR2665P5,5,47.7
CR6721P5,5,47.7
LI1035P5,5,47.7
LU2033P5,5,47.7
LU2512P5,5,47.7
CR1428P5,5,47.8
CR2518P5,5,47.8
PA1280P5,5,47.8
PA2410P5,5,47.8
LU1116P5,5,47.85
CC6679P5,5,47.9
CR6286P5,5,47.9
LI6717P5,5,47.9
LU0038P5,5,47.9
SA3840P5,5,47.9
CR2642P5,5,48
CR6861P5,5,48
CR9264P5,5,48
GA6239P5,5,48
HN3504P5,5,48
LI6610P5,5,48
LU2057P5,5,48
LU3075P5,5,48
SA10992P5,5,48
SA3296P5,5,48
LI6622P5,5,48.05
OV1396P5,5,48.05
PA6238P5,5,48.05
CR0028P5,5,48.1
CR15057P5,5,48.1
CR1634P5,5,48.1
LI2893P5,5,48.1
LY12966P5,5,48.1
PA3108P5,5,48.1
SA10157P5,5,48.1
LU5238P5,5,48.15
CR0196P5,5,48.2
CR2244P5,5,48.2
CR3300P5,5,48.2
ME11973P5,5,48.2
ME5284P5,5,48.2
PA1198P5,5,48.2
CR6234P5,5,48.25
CR2560P5,5,48.3
CR6227P5,5,48.3
HN3411P5,5,48.3
LI6617P5,5,48.3
LI6683P5,5,48.3
CC6690P5,5,48.4
CR2565P5,5,48.4
LU1513P5,5,48.4
CV1664P5,5,48.45
KI2389P5,5,48.45
BR6698P5,5,48.5
LI6294P5,5,48.5
LI6611P5,5,48.5
PA1290P5,5,48.5
SA0639P5,5,48.5
SA2466P5,5,48.5
BR0438P5,5,48.55
LI6656P5,5,48.55
LI6723P5,5,48.55
LU1204P5,5,48.55
CR9252P5,5,48.6
LI6674P5,5,48.6
ME14002P5,5,48.6
PA2414P5,5,48.6
BN2287P5,5,48.7
CR3105P5,5,48.7
LU6802P5,5,48.7
ME9370P5,5,48.7
OV2015P5,5,48.7
CR6257P5,5,48.75
GA6212P5,5,48.8
CR6927P5,5,48.85
GA6839P5,5,48.85
BN6299P5,5,48.9
LI6694P5,5,48.9
MC3405P5,5,48.9
PA2020P5,5,48.9
PA2450P5,5,48.95
HN2616P5,5,49
AD10272P5,5,49.1
LU1219P5,5,49.1
LU5171P5,5,49.1
PA6236P5,5,49.2
LI6688P5,5,49.5
ME11982P5,5,49.6
HN2583P5,5,49.8
PA3065P5,5,49.9
ES0201P5,5,50
LU1215P5,5,50
PA1459P5,5,50
SA3302P5,5,50
SA3849P5,5,50
LI6664P5,5,50.6
PA5131P5,5,51.75
PA2415P6,6,41.7
CR2069P6,6,43.4
LU0741P6,6,43.7
LY6931P6,6,44
SA3829P6,6,44.2
CR5039P6,6,45
LU6412P6,6,45.1
BR9494P6,6,45.2
LU6917P6,6,45.4
LU3345P6,6,45.5
MC1454P6,6,45.6
CR6857P6,6,45.8
GA6876P6,6,45.8
PA3029P6,6,45.95
GA6810P6,6,46
HN3712P6,6,46
LU1429P6,6,46
CR6251P6,6,46.1
GA6834P6,6,46.1
LU0697P6,6,46.1
CR3612P6,6,46.2
LU0743P6,6,46.2
CR2556P6,6,46.3
GA6831P6,6,46.35
CR6224P6,6,46.4
CR2037P6,6,46.5
CR6223P6,6,46.6
LI6700P6,6,46.6
LU6416P6,6,46.6
OV2546P6,6,46.6
CR6252P6,6,46.7
PA1457P6,6,46.7
CR3056P6,6,46.8
CR5052P6,6,46.8
CR1489P6,6,46.9
CR2564P6,6,46.95
CR3107P6,6,47
BR3116P6,6,47.05
CR6853P6,6,47.1
LU6904P6,6,47.1
GA13766P6,6,47.2
LI1097P6,6,47.2
PA1265P6,6,47.2
LU6433P6,6,47.3
OV3596P6,6,47.3
GA0060P6,6,47.35
PA1222P6,6,47.35
PA6270P6,6,47.35
GA2117P6,6,47.4
ES0184P6,6,47.5
LI0801P6,6,47.5
PA2023P6,6,47.5
CR2523P6,6,47.6
ES0214P6,6,47.6
HN3173P6,6,47.6
LI0348P6,6,47.6
OV2018P6,6,47.6
PA2021P6,6,47.6
CR6289P6,6,47.65
CC6637P6,6,47.7
GA0055P6,6,47.7
PA6260P6,6,47.7
GA0151P6,6,47.75
PA2562P6,6,47.75
CR9268P6,6,47.8
HN1391P6,6,47.8
LI6292P6,6,47.8
CR2501P6,6,47.85
CR6909P6,6,47.9
LI6680P6,6,47.9
MC0665P6,6,47.9
PA1360P6,6,47.9
CR6248P6,6,47.95
BL3578P6,6,48
BN0769P6,6,48
BR1282P6,6,48
CR3804P6,6,48
CR6226P6,6,48
LI0941P6,6,48
OV0273P6,6,48
PA6261P6,6,48
CR6242P6,6,48.05
LU5197P6,6,48.05
CR1287P6,6,48.1
CR1530P6,6,48.1
CR2179P6,6,48.1
ES0110P6,6,48.1
LI6660P6,6,48.1
LI6677P6,6,48.1
LI6691P6,6,48.1
PA1189P6,6,48.1
PA3100P6,6,48.1
LY6443P6,6,48.15
PA1214P6,6,48.15
AM5512P6,6,48.2
CC0449P6,6,48.2
CR6805P6,6,48.2
LI6676P6,6,48.2
PA15055P6,6,48.2
GA6865P6,6,48.25
LI6716P6,6,48.25
CC1470P6,6,48.3
CR3114P6,6,48.3
CR6219P6,6,48.3
PA2231P6,6,48.3
CR1563P6,6,48.35
GA6829P6,6,48.35
LU11786P6,6,48.35
LY6934P6,6,48.35
CC6609P6,6,48.4
CR1554P6,6,48.4
CR3101P6,6,48.4
CR6847P6,6,48.4
GA6878P6,6,48.4
HN2581P6,6,48.4
PA1170P6,6,48.4
CR2046P6,6,48.5
CR2559P6,6,48.5
CR5089P6,6,48.5
LU6800P6,6,48.5
PA1301P6,6,48.5
PA3010P6,6,48.5
BN4027P6,6,48.6
CR3077P6,6,48.6
CR9243P6,6,48.6
LI6619P6,6,48.6
PA1233P6,6,48.6
UT3705P6,6,48.6
PA3060P6,6,48.7
CC6204P6,6,48.8
PA1357P6,6,48.8
GA2435P6,6,48.85
LI6295P6,6,48.95
HN3533P6,6,49
LI6663P6,6,49
LI6722P6,6,49
LU2049P6,6,49
AM8096P6,6,49.1
BL3479P6,6,49.1
CV3633P6,6,49.1
LI6615P6,6,49.1
BR3058P6,6,49.25
PA1413P6,6,49.4
PA6271P6,6,49.7
CC6658P6,6,50
CR0010P6,6,50
LI3243P6,6,50
GA6825P6,6,50.4
CR3150P6,6,51.7
PA6230P6,6,53.3
LU5159P7,7,42.7
LU6436P7,7,44
ES0172P7,7,44.1
LU6406P7,7,44.1
LU6414P7,7,44.7
LU11692P7,7,44.9
LI6710P7,7,45.2
CR6854P7,7,45.3
GA6898P7,7,45.5
LU2551P7,7,45.5
GA6214P7,7,45.6
CR2083P7,7,45.7
CC6604P7,7,45.8
LU6425P7,7,45.9
PA6258P7,7,45.9
CR2408P7,7,45.95
LU1144P7,7,45.95
MC3464P7,7,46.1
LU6484P7,7,46.2
PA6246P7,7,46.2
LU2086P7,7,46.3
BR9230P7,7,46.5
GA0098P7,7,46.7
LI6636P7,7,46.7
BR2543P7,7,46.8
CR2828P7,7,46.8
CR5048P7,7,46.8
MC3603P7,7,46.95
PA1367P7,7,46.95
PA2416P7,7,47
OV2017P7,7,47.1
LI6628P7,7,47.3
OV1286P7,7,47.3
PA2454P7,7,47.5
LU6913P7,7,47.55
LU6914P7,7,47.55
LI0612P7,7,47.6
OV1579P7,7,47.6
AM7577P7,7,47.7
HN3635P7,7,47.7
GA0091P7,7,47.8
CR3211P7,7,47.9
GA6875P7,7,48
HN2222P7,7,48
PA1178P7,7,48
CR6860P7,7,48.1
LU6905P7,7,48.1
CR1744P7,7,48.2
CR2060P7,7,48.2
CR6856P7,7,48.2
PA2847P7,7,48.2
PA3137P7,7,48.2
PA6263P7,7,48.2
CR2084P7,7,48.3
LY6938P7,7,48.3
GA6240P7,7,48.45
CR2047P7,7,48.5
GA6807P7,7,48.5
LU6404P7,7,48.5
LU2455P7,7,48.6
LU9348P7,7,48.6
LY2219P7,7,48.6
HN2603P7,7,48.7
SA0271P7,7,48.7
CR2568P7,7,48.8
CR3015P7,7,48.8
CR6804P7,7,48.8
GA6869P7,7,48.9
ES2563P7,7,49
HN2599P7,7,49
LI6652P7,7,49
PA3003P7,7,49
BR6695P7,7,49.1
LI6718P7,7,49.2
PA1221P7,7,49.2
GA6811P7,7,49.5
SA3224P7,7,50.1
LU6423P8,8,37.2
BR9465P8,8,43.8
LU5148P8,8,43.95
LU5137P8,8,44
BR9464P8,8,44.05
HN3599P8,8,44.6
ES0195P8,8,45.4
ES6824P8,8,45.65
GA0023P8,8,45.65
ES0191P8,8,45.9
PA2507P8,8,45.9
CR2832P8,8,46.1
OV2423P8,8,46.25
CR0012P8,8,46.3
LU6424P8,8,46.5
BL3338P8,8,46.6
PA2637P8,8,46.65
LU0748P8,8,46.85
LU6415P8,8,46.85
CV3567P8,8,46.9
GA6897P8,8,46.9
LU6907P8,8,47
GA6895P8,8,47.2
PA2426P8,8,47.2
PA3004P8,8,47.3
GA6820P8,8,47.4
GA6866P8,8,47.4
CR6454P8,8,47.5
ES2263P8,8,47.5
HN2448P8,8,47.55
LU6922P8,8,47.6
CR2829P8,8,47.7
HN2170P8,8,47.7
LI1058P8,8,47.8
CR2554P8,8,47.85
CR2831P8,8,47.85
CR6863P8,8,47.85
PA6285P8,8,47.9
HN3536P8,8,47.95
CR3565P8,8,48
GA2421P8,8,48
KI2432P8,8,48
KI9309P8,8,48
OV3708P8,8,48
CV5104P8,8,48.05
CR2864P8,8,48.1
GA6806P8,8,48.1
LI6646P8,8,48.1
PA1333P8,8,48.1
GA3155P8,8,48.15
CR3348P8,8,48.25
CV3407P8,8,48.3
CR2072P8,8,48.4
CR2178P8,8,48.4
ME6928P8,8,48.4
CR2073P8,8,48.5
CR2654P8,8,48.9
PA2035P8,8,48.9
GA6873P8,8,49
LI6650P8,8,49.6
CR1207P8,8,50.1
LU0395P9,9,41.25
LU6440P9,9,41.55
CV3649P9,9,44.85
GA6871P9,9,45
GA6817P9,9,45.7
LU6422P9,9,46.1
CR1305P9,9,46.15
CR6925P9,9,46.35
ES0141P9,9,46.4
LU6408P9,9,47.3
LI6668P9,9,47.4
ES6470P9,9,47.45
LU2539P9,9,47.5
LY3604P9,9,47.5
GA0075P9,9,47.6
PA1443P9,9,47.7
PA2406P9,9,47.75
CV3666P9,9,47.8
CR0126P9,9,47.9
HN3388P9,9,47.9
CR3099P9,9,48
GA6864P9,9,48
LI6654P9,9,48
LU6901P9,9,48
CR2285P9,9,48.05
CR2516P9,9,48.2
SA3841P9,9,48.3
CR2502P9,9,48.4
GA2842P9,9,48.4
SA3283P9,9,48.4
PA2566P9,9,48.45
LY0257P9,9,48.5
CR6620P9,9,48.6
UT2449P9,9,48.6
CR2650P9,9,48.8
GL0440P9,9,49.3
CR2849P9,9,49.35
CR2812P10,10,43.1
GA0114P10,10,43.5
ES0183P10,10,45.65
ES0212P10,10,45.7
PA2424P10,10,46.3
CR6449P10,10,46.4
ME2489P10,10,46.4
CR1197P10,10,46.5
LU2417P10,10,46.6
HN0586P10,10,46.9
LU6940P10,10,46.9
LI0050P10,10,47.5
BR9457P10,10,47.8
CR3485P10,10,47.9
LU6477P10,10,47.9
HN2579P10,10,47.95
LU1206P10,10,47.95
CR1795P10,10,48.2
PA3006P10,10,48.3
CR6852P10,10,48.35
PA1252P10,10,48.6
CR2627P10,10,48.8
LI6649P10,10,49
CR6457P11,11,40.5
CR2558P11,11,42.65
LU1902P11,11,46
LU6921P11,11,46.1
LU6407P11,11,48
LU6428P11,11,48
GA2420P11,11,48.5
LU2445P11,11,49.35
LU6910P12,12,41.8
HN2574P12,12,45
CR6849P12,12,45.2
LU2042P12,12,46.6
PA6468P12,12,47
LU6481P12,12,48.2
OV2029P12,12,48.5
LU6420P13,13,36.2
CC6644P13,13,45.65
CR6461P13,13,47.45
CR6455P13,13,47.5
CR2545P14,14,48
CR0245P14,14,48.5
LU6429P15,15,45.7
SA2398P15,15,45.9
LU6405P15,15,47.8
CR6446P15,15,48
HN2575P16,16,42.5
CR6452P16,16,48.3
CR6458P17,17,47.6
LU6473P18,18,45.3
LU6403P18,18,47.8
LU6402P19,19,46.5
CR6453P20,20,47.5
CR6456P22,22,46.45
ES6463P23,23,46.65
CR6460P23,23,46.85
BN2276P23,23,47.6
BN2287P23,23,48.6
BN2289P25,25,48.5
